Date; Time; Milisec; Msg ID; Byte1; Byte2; Byte3; Byte4; Byte5; Byte6; Byte7; Byte8;; Byte1; Byte2; Byte3; Byte4; Byte5; Byte6; Byte7; Byte8
2025.12.02; 16:46:50; 392; 18FF6221; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:50; 413; 18E5FF74; 09; FF; FF; FF; FF; FF; FF; FF; ; 009; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:50; 441; 18E2FF70; 0B; 1E; 00; 00; 00; FF; FF; FF; ; 011; 030; 000; 000; 000; 255; 255; 255; 
2025.12.02; 16:46:50; 458; 0CE07374; 50; 08; 32; 04; 4B; FF; FF; FC; ; 080; 008; 050; 004; 075; 255; 255; 252; 
2025.12.02; 16:46:50; 492; 18FEEE00; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:50; 541; 18E2FF70; 0D; FF; FF; FF; FF; FF; FF; FF; ; 013; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:50; 541; 0CE07074; 14; 3D; 3D; 10; 17; FF; FF; FF; ; 020; 061; 061; 016; 023; 255; 255; 255; 
2025.12.02; 16:46:50; 597; 0CE17074; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:50; 597; 18FEF517; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:50; 597; 18E2FF73; 01; 58; 18; 01; 8C; 00; 82; 01; ; 001; 088; 024; 001; 140; 000; 130; 001; 
2025.12.02; 16:46:50; 597; 18E2FF73; 02; 33; 00; 07; 00; 4B; 00; 00; ; 002; 051; 000; 007; 000; 075; 000; 000; 
2025.12.02; 16:46:50; 636; 0CE37074; 00; 10; FF; FF; FF; FF; FF; FF; ; 000; 016; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:50; 743; 18E2FF70; 00; 04; FF; FF; 80; 1F; 00; 00; ; 000; 004; 255; 255; 128; 031; 000; 000; 
2025.12.02; 16:46:50; 752; 18E2FF76; 01; FF; FF; 0F; FF; 0F; FF; 0F; ; 001; 255; 255; 015; 255; 015; 255; 015; 
2025.12.02; 16:46:50; 774; 18E2FF76; 02; FF; FF; FF; 00; 00; 00; 00; ; 002; 255; 255; 255; 000; 000; 000; 000; 
2025.12.02; 16:46:50; 774; 18E2FF76; 03; FF; FF; FF; FF; FF; FF; FF; ; 003; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:50; 774; 18EAFF76; 01; 00; 4F; 06; FF; FF; FF; FF; ; 001; 000; 079; 006; 255; 255; 255; 255; 
2025.12.02; 16:46:50; 786; 18E2FF70; 01; 3D; 56; 01; 17; 01; 87; 01; ; 001; 061; 086; 001; 023; 001; 135; 001; 
2025.12.02; 16:46:50; 803; 18FF2100; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:50; 848; 18E2FF70; 02; FF; 43; 01; 3A; 01; 2F; 01; ; 002; 255; 067; 001; 058; 001; 047; 001; 
2025.12.02; 16:46:50; 893; 18E2FF70; 03; 3D; 00; 00; 00; FF; 08; F0; ; 003; 061; 000; 000; 000; 255; 008; 240; 
2025.12.02; 16:46:50; 893; 18FEF100; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:50; 942; 18E2FF70; 04; 45; CE; 01; 01; 01; 00; 00; ; 004; 069; 206; 001; 001; 001; 000; 000; 
2025.12.02; 16:46:50; 957; 18FEE674; 64; 3A; 16; 00; 60; 0F; 00; 7D; ; 100; 058; 022; 000; 096; 015; 000; 125; 
2025.12.02; 16:46:50; 989; 18E2FF70; 05; 14; 00; 00; 00; 00; 00; 00; ; 005; 020; 000; 000; 000; 000; 000; 000; 
2025.12.02; 16:46:50; 989; 18EAFF70; 00; 00; FF; FF; FF; FF; FF; FF; ; 000; 000; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 010; 18FEC1EE; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 010; 18EAFF74; 00; 00; 00; 00; 00; 00; 00; 00; ; 000; 000; 000; 000; 000; 000; 000; 000; 
2025.12.02; 16:46:51; 041; 18E2FF70; 06; FF; FF; FF; 08; 01; FF; FF; ; 006; 255; 255; 255; 008; 001; 255; 255; 
2025.12.02; 16:46:51; 053; 18E5FF74; 01; 00; 04; 00; 00; 00; 5B; 02; ; 001; 000; 004; 000; 000; 000; 091; 002; 
2025.12.02; 16:46:51; 099; 18E2FF70; 07; FF; FF; FF; FF; FF; FF; FF; ; 007; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 099; 0CF00400; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 099; 18E5FF74; 02; 46; 01; 00; 61; 61; C3; 01; ; 002; 070; 001; 000; 097; 097; 195; 001; 
2025.12.02; 16:46:51; 145; 18E2FF70; 08; 3A; 16; 00; 60; 0F; 64; 0F; ; 008; 058; 022; 000; 096; 015; 100; 015; 
2025.12.02; 16:46:51; 145; 18E5FF74; 03; FF; FF; FF; FF; FF; FF; FF; ; 003; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 192; 18E5FF74; 04; 10; 10; FF; 4B; 17; FF; 08; ; 004; 016; 016; 255; 075; 023; 255; 008; 
2025.12.02; 16:46:51; 192; 18E2FF70; 09; FF; FF; FF; FF; 17; FF; FF; ; 009; 255; 255; 255; 255; 023; 255; 255; 
2025.12.02; 16:46:51; 192; 18FF6221; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 242; 18E2FF70; 0A; 00; FC; FF; FF; FF; FF; 00; ; 010; 000; 252; 255; 255; 255; 255; 000; 
2025.12.02; 16:46:51; 271; 18E5FF74; 06; FF; 00; FF; FF; FF; 00; 00; ; 006; 255; 000; 255; 255; 255; 000; 000; 
2025.12.02; 16:46:51; 286; 18E2FF70; 0B; 1E; 00; 00; 00; FF; FF; FF; ; 011; 030; 000; 000; 000; 255; 255; 255; 
2025.12.02; 16:46:51; 307; 18FEEE00; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 316; 18E5FF74; 07; FF; 3D; 4B; 3F; 00; 07; FF; ; 007; 255; 061; 075; 063; 000; 007; 255; 
2025.12.02; 16:46:51; 364; 18E5FF74; 08; FF; FF; FF; FF; FF; FF; FF; ; 008; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 385; 18E2FF70; 0D; FF; FF; FF; FF; FF; FF; FF; ; 013; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 395; 18FEF517; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 410; 18E5FF74; 09; FF; FF; FF; FF; FF; FF; FF; ; 009; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 459; 0CE07374; 50; 08; 32; 04; 4B; FF; FF; FC; ; 080; 008; 050; 004; 075; 255; 255; 252; 
2025.12.02; 16:46:51; 559; 0CE07074; 14; 3D; 3D; 10; 17; FF; FF; FF; ; 020; 061; 061; 016; 023; 255; 255; 255; 
2025.12.02; 16:46:51; 599; 18E2FF70; 00; 04; FF; FF; 80; 1F; 00; 00; ; 000; 004; 255; 255; 128; 031; 000; 000; 
2025.12.02; 16:46:51; 599; 0CE17074; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 599; 18FF2100; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 599; 18E2FF73; 01; 58; 18; 01; 8C; 00; 82; 01; ; 001; 088; 024; 001; 140; 000; 130; 001; 
2025.12.02; 16:46:51; 599; 18E2FF73; 02; 33; 00; 07; 00; 4B; 00; 00; ; 002; 051; 000; 007; 000; 075; 000; 000; 
2025.12.02; 16:46:51; 646; 0CE37074; 00; 10; FF; FF; FF; FF; FF; FF; ; 000; 016; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 646; 18E2FF70; 01; 3D; 56; 01; 17; 01; 87; 01; ; 001; 061; 086; 001; 023; 001; 135; 001; 
2025.12.02; 16:46:51; 693; 18E2FF70; 02; FF; 43; 01; 3A; 01; 2F; 01; ; 002; 255; 067; 001; 058; 001; 047; 001; 
2025.12.02; 16:46:51; 693; 18FEF100; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 742; 18E2FF70; 03; 3D; 00; 00; 00; FF; 08; F0; ; 003; 061; 000; 000; 000; 255; 008; 240; 
2025.12.02; 16:46:51; 772; 18E2FF76; 01; FF; FF; 0F; FF; 0F; FF; 0F; ; 001; 255; 255; 015; 255; 015; 255; 015; 
2025.12.02; 16:46:51; 772; 18E2FF76; 02; FF; FF; FF; 00; 00; 00; 00; ; 002; 255; 255; 255; 000; 000; 000; 000; 
2025.12.02; 16:46:51; 772; 18E2FF76; 03; FF; FF; FF; FF; FF; FF; FF; ; 003; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 772; 18EAFF76; 01; 00; 4F; 06; FF; FF; FF; FF; ; 001; 000; 079; 006; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 786; 18E2FF70; 04; 45; CE; 01; 01; 01; 00; 00; ; 004; 069; 206; 001; 001; 001; 000; 000; 
2025.12.02; 16:46:51; 807; 18FEC1EE; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 834; 18E2FF70; 05; 14; 00; 00; 00; 00; 00; 00; ; 005; 020; 000; 000; 000; 000; 000; 000; 
